City ID,Category Name,Products
10582,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10583,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10583,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10583,Soft Toys,adon10|ADDONFG21
10583,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10583,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10589,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10589,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10589,Soft Toys,adon10|ADDONFG21
10589,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10589,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10590,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10590,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10590,Soft Toys,adon10|ADDONFG21
10590,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10590,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10591,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10591,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10591,Soft Toys,adon10|ADDONFG21
10591,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10591,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10592,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10592,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10592,Soft Toys,adon10|ADDONFG21
10592,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10592,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10568,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG14|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
